                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5218,                  1.518,                 2.0924,                0.32653,                 0.4435,                0.43127,                0.27366,                 1.3673,                 1.4345,                 2.0326,             0.00030521,             0.00030521,             0.00030521
                     35,                 1.5568,                 1.4103,                 1.8787,                0.33754,                0.43482,                0.43225,                0.26963,                  1.398,                 1.4442,                 2.0485,             0.00028872,             0.00028872,             0.00028872
                     36,                 1.4298,                 1.6039,                 1.9272,                0.32964,                0.42028,                0.42546,                0.26485,                 1.4255,                 1.4546,                  2.048,             0.00027222,             0.00027222,             0.00027222
                     37,                 1.6299,                  1.997,                 1.9467,                 0.3317,                0.41485,                0.42142,                 0.2724,                 1.3958,                 1.4743,                 2.0096,             0.00025573,             0.00025573,             0.00025573
                     38,                 1.2268,                  5.857,                 1.5241,                 0.3256,                0.43576,                0.43182,                0.28343,                  1.371,                 1.5469,                  1.999,             0.00023924,             0.00023924,             0.00023924
                     39,                 1.7398,                 1.5248,                 1.9239,                0.43506,                0.47567,                0.45071,                0.29688,                 1.3522,                 1.5783,                 1.9972,             0.00022274,             0.00022274,             0.00022274
                     40,                 1.5303,                 1.5244,                 1.9266,                0.44425,                0.49712,                0.46314,                0.30269,                 1.3392,                 1.5578,                 1.9923,             0.00020625,             0.00020625,             0.00020625
                     41,                 1.4108,                   1.67,                 1.9991,                0.45315,                0.49355,                0.46626,                0.30692,                  1.324,                 1.5094,                 1.9795,             0.00018976,             0.00018976,             0.00018976
                     42,                 1.3568,                 1.5797,                 2.0412,                0.44687,                0.50505,                0.46204,                0.30281,                 1.3074,                 1.4669,                 1.9653,             0.00017326,             0.00017326,             0.00017326
                     43,                 1.5219,                 1.6572,                 2.2582,                0.44279,                0.53858,                0.46917,                0.30705,                 1.2991,                 1.4354,                 1.9506,             0.00015677,             0.00015677,             0.00015677
                     44,                 1.4244,                 1.5256,                 2.1043,                0.45376,                0.49977,                0.47904,                0.31189,                 1.3106,                 1.4421,                 1.9539,             0.00014028,             0.00014028,             0.00014028
                     45,                 1.4486,                 1.7121,                 2.1545,                0.43345,                0.49272,                0.47917,                0.30445,                 1.3233,                 1.4527,                 1.9528,             0.00012378,             0.00012378,             0.00012378
                     46,                 1.3666,                 1.5563,                 2.0289,                0.41131,                0.49868,                 0.4734,                0.30111,                 1.3238,                 1.4642,                 1.9527,             0.00010729,             0.00010729,             0.00010729
                     47,                 1.5109,                 1.6683,                 2.1908,                0.38512,                0.46274,                0.47265,                0.30177,                 1.3171,                 1.4649,                  1.954,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     48,                 1.4232,                 1.5651,                 1.9569,                0.40453,                0.45727,                0.46849,                0.29946,                 1.3159,                 1.4456,                 1.9526,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     49,                 1.4625,                 1.6168,                 1.9092,                0.35368,                0.47192,                0.47011,                0.29911,                 1.3026,                 1.4108,                 1.9412,              5.781e-05,              5.781e-05,              5.781e-05
                     50,                 1.3804,                 1.4311,                 1.8592,                0.36023,                0.46531,                0.46889,                0.30007,                 1.2889,                 1.3819,                 1.9296,             4.1317e-05,             4.1317e-05,             4.1317e-05
