                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.3916,                 2.4765,                 2.9104,                0.00036,                0.00476,                0.00064,                  9e-05,                 4.1511,                 5.1113,                 4.6332,             0.00027222,             0.00027222,             0.00027222
                     37,                 2.6587,                 3.1663,                  2.935,                0.00041,                0.00571,                0.00092,                0.00011,                 4.1704,                 5.1548,                 4.6862,             0.00025573,             0.00025573,             0.00025573
                     38,                 1.9448,                 5.3503,                 2.2114,                0.00021,                0.00286,                0.00108,                0.00011,                 4.1333,                 5.2944,                 4.7719,             0.00023924,             0.00023924,             0.00023924
                     39,                 2.7625,                 2.1356,                 2.8298,                0.90989,                0.01619,                0.01337,                  0.002,                 4.4821,                 4.8699,                 4.5853,             0.00022274,             0.00022274,             0.00022274
                     40,                 2.5093,                 2.0907,                 2.7802,                0.88947,                0.04095,                0.03642,                0.00994,                 4.6514,                  3.928,                 4.0013,             0.00020625,             0.00020625,             0.00020625
                     41,                 2.2587,                 2.5949,                 2.7833,                0.89436,                0.05238,                0.04772,                0.01424,                 4.4249,                 3.6377,                 3.7076,             0.00018976,             0.00018976,             0.00018976
                     42,                  2.313,                  2.213,                 2.9205,                 0.8944,                0.06095,                0.04858,                0.01534,                 4.2625,                 3.5376,                 3.5257,             0.00017326,             0.00017326,             0.00017326
                     43,                 2.4574,                 2.3056,                 3.0842,                0.90748,                 0.0581,                0.05401,                 0.0159,                 4.1447,                 3.4487,                 3.4324,             0.00015677,             0.00015677,             0.00015677
                     44,                 2.3191,                 2.2126,                 2.9133,                0.91526,                 0.0619,                0.06385,                0.01852,                 3.9535,                 3.2502,                 3.3228,             0.00014028,             0.00014028,             0.00014028
                     45,                 2.3061,                 2.3754,                 2.9218,                0.93454,                0.06774,                0.07556,                0.02116,                 3.7703,                  3.158,                 3.2645,             0.00012378,             0.00012378,             0.00012378
                     46,                 2.2541,                 2.2264,                 2.8409,                0.81336,                0.08219,                0.08953,                0.02477,                  3.568,                 3.0766,                 3.2076,             0.00010729,             0.00010729,             0.00010729
                     47,                 2.3567,                 2.2543,                 2.9516,                0.64944,                0.08847,                0.11795,                0.03704,                  3.282,                  2.929,                 3.1319,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     48,                 2.2793,                 2.3033,                  2.778,                0.67793,                0.10187,                0.14487,                0.04709,                 3.1374,                 2.7919,                 3.0694,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     49,                 2.3323,                 2.5188,                 2.6917,                0.70949,                0.15012,                0.16629,                0.06127,                 2.9498,                 2.6204,                 3.0002,              5.781e-05,              5.781e-05,              5.781e-05
                     50,                 2.3956,                 2.0651,                 2.7067,                0.69923,                0.17759,                0.19144,                0.07546,                 2.7782,                 2.4662,                 2.9292,             4.1317e-05,             4.1317e-05,             4.1317e-05
