                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5226,                 1.6228,                 1.9796,                0.43834,                0.48719,                0.46922,                0.31196,                 1.2662,                 1.4154,                 1.9362,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                 1.3651,                 1.4093,                 1.9623,                0.42832,                0.48939,                0.47605,                 0.3095,                  1.359,                 1.3891,                 1.9831,             5.7155e-05,             5.7155e-05,             5.7155e-05
                      3,                 1.5657,                 1.5725,                 1.8403,                0.82957,                0.36381,                 0.4394,                0.25774,                 1.6143,                 1.4767,                 2.0837,             8.8001e-05,             8.8001e-05,             8.8001e-05
                      4,                  1.453,                 1.3786,                  1.849,                0.23201,                0.42565,                0.39362,                0.23026,                  1.595,                 1.5491,                 2.0576,             0.00011753,             0.00011753,             0.00011753
                      5,                 1.6652,                 1.8509,                  2.047,                0.78767,                0.35924,                0.42683,                0.25728,                 1.4584,                 1.4845,                 1.9807,             0.00014574,             0.00014574,             0.00014574
                      6,                 1.6322,                 1.4384,                 2.0776,                0.34537,                0.49609,                0.48245,                0.31521,                 1.3097,                 1.3635,                 1.9225,             0.00017262,             0.00017262,             0.00017262
                      7,                 1.7811,                 1.5524,                 1.9217,                0.39833,                0.52351,                0.49602,                 0.3238,                 1.2678,                 1.3154,                 1.9289,             0.00019819,             0.00019819,             0.00019819
                      8,                 1.5163,                 1.5012,                 2.0095,                0.70899,                0.50074,                0.50791,                0.32837,                 1.2757,                 1.3027,                 1.9384,             0.00022244,             0.00022244,             0.00022244
                      9,                 1.7931,                 1.9427,                  2.221,                0.49333,                0.51407,                0.51342,                0.33213,                  1.256,                 1.3106,                 1.9113,             0.00024537,             0.00024537,             0.00024537
                     10,                 1.4526,                  1.384,                 1.8581,                0.76316,                0.46102,                0.49869,                0.32629,                 1.2652,                 1.3073,                 1.8731,             0.00026698,             0.00026698,             0.00026698
                     11,                 1.5756,                 1.4629,                 1.8756,                0.80358,                0.45713,                0.51155,                0.34737,                 1.1884,                 1.2576,                 1.8201,             0.00028727,             0.00028727,             0.00028727
