                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2004,                 1.2479,                 1.6624,                0.71248,                0.66989,                0.72352,                0.53833,                0.99797,                 1.0713,                   1.62,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                 1.0652,                 1.1193,                 1.6158,                 0.7137,                0.66828,                0.74155,                0.54778,                 1.0042,                 1.0153,                 1.6176,             5.7733e-05,             5.7733e-05,             5.7733e-05
                      3,                 1.2993,                 1.2474,                 1.5726,                0.57599,                0.71027,                0.70412,                 0.5021,                 1.0592,                 1.0422,                 1.6368,             8.9816e-05,             8.9816e-05,             8.9816e-05
                      4,                 1.0978,                 1.0832,                 1.5582,                0.71912,                0.64523,                0.74457,                0.54038,                 1.0456,                 1.0604,                 1.6067,             0.00012124,             0.00012124,             0.00012124
                      5,                  1.332,                  1.494,                 1.7443,                0.66937,                0.66319,                0.75484,                0.55697,                 1.0198,                 1.0557,                 1.6023,               0.000152,               0.000152,               0.000152
                      6,                 1.3096,                  1.187,                 1.7648,                0.68914,                0.67199,                0.73564,                0.54204,                 1.0116,                 1.0432,                 1.6078,             0.00018211,             0.00018211,             0.00018211
                      7,                 1.3808,                 1.2728,                 1.5952,                0.76949,                0.66958,                0.72554,                0.53161,                  1.011,                 1.0447,                 1.6295,             0.00021155,             0.00021155,             0.00021155
                      8,                 1.2475,                 1.2123,                 1.6873,                0.73306,                0.65624,                0.72927,                 0.5313,                 1.0157,                 1.0326,                 1.6199,             0.00024033,             0.00024033,             0.00024033
                      9,                 1.4495,                 1.6728,                 1.8884,                0.66607,                0.69609,                0.74107,                0.53725,                 1.0274,                 1.0524,                 1.6116,             0.00026846,             0.00026846,             0.00026846
                     10,                 1.2038,                 1.1171,                 1.5709,                0.69442,                0.69244,                0.74307,                0.53051,                 1.0446,                 1.0549,                 1.5837,             0.00029592,             0.00029592,             0.00029592
                     11,                 1.3182,                  1.217,                 1.6198,                 0.9211,                0.59675,                0.74696,                  0.546,                 1.0121,                  1.043,                 1.5554,             0.00032273,             0.00032273,             0.00032273
                     12,                 1.1688,                  1.161,                 1.6664,                 0.6839,                0.72076,                0.77277,                0.56361,                 1.0097,                 1.0463,                 1.5686,             0.00034887,             0.00034887,             0.00034887
                     13,                 1.2818,                 1.3197,                 1.7902,                0.65421,                0.71743,                0.76805,                0.56665,                0.99982,                 1.0362,                 1.5627,             0.00037436,             0.00037436,             0.00037436
                     14,                 1.3414,                 1.0771,                 1.5264,                0.62872,                0.72308,                0.76032,                0.55131,                 1.0518,                  1.043,                 1.5801,             0.00039919,             0.00039919,             0.00039919
                     15,                 1.4709,                 1.4604,                 1.8751,                0.63646,                0.74515,                0.73023,                0.53014,                 1.0461,                 1.0572,                 1.5774,             0.00042335,             0.00042335,             0.00042335
                     16,                 1.1421,                 1.1023,                  1.571,                0.65948,                0.74706,                0.73173,                0.51952,                 1.0652,                 1.0504,                 1.5856,             0.00044686,             0.00044686,             0.00044686
                     17,                 1.3779,                  1.269,                 1.7566,                0.62209,                0.76292,                0.73849,                0.51898,                 1.0576,                 1.0333,                 1.5698,             0.00046971,             0.00046971,             0.00046971
                     18,                  1.159,                 1.0905,                 1.5663,                0.68983,                0.70546,                0.74773,                0.51975,                 1.0634,                 1.0278,                 1.5625,             0.00049189,             0.00049189,             0.00049189
                     19,                 1.1795,                 1.0496,                  1.521,                0.70748,                0.72112,                0.76693,                0.53441,                 1.0625,                 1.0406,                 1.5617,             0.00051342,             0.00051342,             0.00051342
                     20,                 1.1509,                 1.0589,                  1.555,                0.72133,                0.71839,                0.77484,                0.54475,                 1.0708,                 1.0054,                 1.5573,             0.00053429,             0.00053429,             0.00053429
